

Running new training session...
Logs from 2023-04-25

Epoch 1
-------------------------------
loss: 1.318781  [   16/11955]
loss: 1.187489  [   32/11955]
loss: 1.186358  [   48/11955]
loss: 1.317315  [   64/11955]
loss: 1.356604  [   80/11955]
loss: 1.318138  [   96/11955]
loss: 1.577676  [  112/11955]
loss: 1.278722  [  128/11955]
loss: 1.398624  [  144/11955]
loss: 1.120574  [  160/11955]
loss: 1.410145  [  176/11955]
loss: 1.220771  [  192/11955]
loss: 1.365267  [  208/11955]
loss: 1.419118  [  224/11955]
loss: 1.413292  [  240/11955]
loss: 1.278077  [  256/11955]
loss: 1.220606  [  272/11955]
loss: 1.445352  [  288/11955]
loss: 1.236800  [  304/11955]
loss: 1.329737  [  320/11955]
loss: 1.323037  [  336/11955]
loss: 1.343311  [  352/11955]
loss: 1.471418  [  368/11955]
loss: 1.286977  [  384/11955]
loss: 1.329626  [  400/11955]
loss: 1.282048  [  416/11955]
loss: 1.312121  [  432/11955]
loss: 1.281178  [  448/11955]
loss: 1.220198  [  464/11955]
loss: 1.333705  [  480/11955]
loss: 1.292073  [  496/11955]
loss: 1.464608  [  512/11955]
loss: 1.368079  [  528/11955]
loss: 1.246898  [  544/11955]
loss: 1.390294  [  560/11955]
loss: 1.365249  [  576/11955]
loss: 1.507285  [  592/11955]
loss: 1.111788  [  608/11955]
loss: 1.339212  [  624/11955]
loss: 1.305012  [  640/11955]
loss: 1.393867  [  656/11955]
loss: 1.186058  [  672/11955]
loss: 1.589881  [  688/11955]
loss: 1.355805  [  704/11955]
loss: 1.516750  [  720/11955]
loss: 1.300010  [  736/11955]
loss: 1.270259  [  752/11955]
loss: 1.287916  [  768/11955]
loss: 1.447764  [  784/11955]
loss: 1.326416  [  800/11955]
loss: 1.122874  [  816/11955]
loss: 1.280351  [  832/11955]
loss: 1.359054  [  848/11955]
loss: 1.418568  [  864/11955]
loss: 1.472708  [  880/11955]
loss: 1.427984  [  896/11955]
loss: 1.482649  [  912/11955]
loss: 1.307409  [  928/11955]
loss: 1.336716  [  944/11955]
loss: 1.366561  [  960/11955]
loss: 1.374544  [  976/11955]
loss: 1.459404  [  992/11955]
loss: 1.271203  [ 1008/11955]
loss: 1.407807  [ 1024/11955]
loss: 1.307413  [ 1040/11955]
loss: 1.292472  [ 1056/11955]
loss: 1.315119  [ 1072/11955]
loss: 1.293936  [ 1088/11955]
loss: 1.242935  [ 1104/11955]
loss: 1.327263  [ 1120/11955]
loss: 1.346796  [ 1136/11955]
loss: 1.464719  [ 1152/11955]
loss: 1.254164  [ 1168/11955]
loss: 1.366148  [ 1184/11955]
loss: 1.235282  [ 1200/11955]
loss: 1.367776  [ 1216/11955]
loss: 1.333475  [ 1232/11955]
loss: 1.366782  [ 1248/11955]
loss: 1.324609  [ 1264/11955]
loss: 1.250860  [ 1280/11955]
loss: 1.546274  [ 1296/11955]
loss: 1.282620  [ 1312/11955]
loss: 1.255539  [ 1328/11955]
loss: 1.237056  [ 1344/11955]
loss: 1.456359  [ 1360/11955]
loss: 1.376242  [ 1376/11955]
loss: 1.417253  [ 1392/11955]
loss: 1.280069  [ 1408/11955]
loss: 1.434102  [ 1424/11955]
loss: 1.374436  [ 1440/11955]
loss: 1.346198  [ 1456/11955]
loss: 1.331450  [ 1472/11955]
